vb,ヴブ
dw,ドウ
gbl,グブル
xbc,クスブク
jnj,ジャンジュ
kc,ケク
wn,ウン
wf,ウフ
pn,プン
ppt,プット
rlz,ルルズ
yfv,イフヴ
bqc,ブクク
ss,スス
wfv,ウフヴ
lkg,ルクグ
bf,バフ
vvz,ヴヴズ
ndv,ンドヴ
vkp,ヴクプ
sgw,スグウ
fb,フブ
bst,ブスト
jkh,ジャクフ
wr,ウル
vzb,ヴズブ
vg,ヴグ
vpb,ヴプブ
jqn,ジャクン
mb,ムブ
hwg,フウグ
gmp,グンプ
cg,クグ
lcs,ルクス
hh,フフ
wwy,ウイイ
pn,プン
pfn,プフン
dk,ドク
rw,ルウ
rrs,ルルス
sm,スム
gp,グプ
kk,クク
yds,イドス
jb,ジュブ
ch,クフ
fb,フブ
ktn,クトン
rk,ルク
fz,フズ
pb,プブ
xf,クスフ
jzs,ジュズス
zhw,ズフウ
dz,ドズ
jrj,ジャルジュ
xv,クスヴ
zlf,ズルフ
ng,ング
kf,クフ
tpp,トププ
dk,ドク
dq,ドク
gc,グク
qp,クプ
sgz,スグズ
dmf,ドムフ
gwt,グウト
bhy,バフイ
cqg,ククグ
wqb,ウクブ
dyp,ドイプ
jwt,ジャット
fnm,フンム
qkz,ククズ
py,プイ
ytx,イトクス
sz,スズ
yft,イフト
rz,ルズ
vq,ヴク
rv,ルヴ
tln,トルン
ptk,プトク
jrw,ジャルウ
kwk,クウク
nf,ンフ
mp,ムプ
ws,ウス
lby,ルブイ
bvj,ブヴジュ
st,スト
pj,プジュ
mf,ムフ
ql,クル
dmk,ドムク
cdc,クドク
znd,ズンド
xkw,クスワ
krt,クルト
kk,クク
qmf,クムフ
qzg,クズグ
fk,フク
br,ブル
jqr,ジャクル
fsy,フスイ
vq,ヴク
dky,ドクイ
nj,ンジャ
vj,ヴジャ
xvd,クスヴド
rj,ルジャ
nph,ンプフ
gmm,グムム
qr,クル
jx,ジャクス
ynx,インクス
np,ンプ
cjp,クジャプ
trl,トルル
gvr,グヴル
mvn,ムヴン
gzg,グズグ
lt,ルト
cpq,クプク
fzv,フズヴ
qn,クン
rv,ルヴ
lsf,ルスフ
fz,フズ
ky,クイ
